# Chain Sudoku / Strimko
# From
# http://www.conceptispuzzles.com/index.aspx?uri=puzzle/sudoku/chain
#
#  Chain Sudoku 9x9
#  Difficulty: Very hard
#  Code: 069.9x9
#  ID: 06990000006

param n := 9;

# represent the different streams with integer 1..n
param streams: 1 2 3 4 5 6 7 8 9:=
  1      1 1 2 2 2 2 3 3 3 
  2      1 1 2 2 2 3 2 3 4 
  3      1 1 2 3 3 3 3 4 4 
  4      1 5 6 6 6 7 7 7 4 
  5      1 5 5 6 6 6 7 4 7 
  6      1 5 5 5 5 7 6 7 4 
  7      8 5 5 9 7 7 6 4 4 
  8      8 8 8 9 9 9 6 9 4 
  9      8 8 8 8 8 9 9 9 9
;

param num_placed := 21;
param placed: 1 2 3 :=
  1      1 5 8 
  2      1 8 2 
  3      2 1 4 
  4      2 3 7 
  5      3 5 6 
  6      3 8 7 
  7      4 4 9 
  8      4 6 2 
  9      5 1 8 
 10      5 3 1 
 11      5 5 5 
 12      5 7 6 
 13      5 9 3 
 14      6 4 5 
 15      6 6 7 
 16      7 2 6 
 17      7 5 4 
 18      8 7 8 
 19      8 9 5 
 20      9 2 8 
 21      9 5 7
;
