% |x y|
-4.7807 -47200.4441
2.6192 1366.3934
1.4097 34.6284
3.3551 6816.7195
-0.4684 -0.3205
-0.5036 -0.3377
1.0242 7.7101
-4.9317 -58993.1536
-3.5292 -5314.0509
1.9701 231.9077
3.5166 9292.0506
0.4239 0.7341
-0.0569 -0.0539
0.1756 0.2130
3.2774 5844.1282
4.8876 83771.9129
-1.9798 -79.8843
-3.4562 -4570.1625
4.8678 81508.3920
2.6011 1307.0254
-1.0175 -1.0740
2.1524 397.8542
4.0321 23039.7672
3.0955 4021.6161
1.8391 153.7839
-4.4432 -27907.6092
1.5940 67.4727
2.8483 2342.0039
-0.4435 -0.3083
1.9974 252.0134
