# This is the output from an Icon program which generates all the possible 
# variants of the name of the famous swedish author Henning Mankell, matching 
# the regular expression  
#
#      [HM][ea](nk|n|nn)(ing|ell|all)
# 
# The Icon program is here:
#
# http://www.hakank.org/unicon/pattern_generation.icn
#
#
# For more on this, please see the following texts
#
# http://www.hakank.org/webblogg/archives/000650.html
# http://www.hakank.org/webblogg/archives/000651.html
#
# (These comments was manually added.)
#
Generated names:
Henking Menking
Henking Menkell
Henking Menkall
Henking Mening
Henking Menell
Henking Menall
Henking Menning
Henking Mennell
Henking Mennall
Henking Manking
Henking Mankell
Henking Mankall
Henking Maning
Henking Manell
Henking Manall
Henking Manning
Henking Mannell
Henking Mannall
Henkell Menking
Henkell Menkell
Henkell Menkall
Henkell Mening
Henkell Menell
Henkell Menall
Henkell Menning
Henkell Mennell
Henkell Mennall
Henkell Manking
Henkell Mankell
Henkell Mankall
Henkell Maning
Henkell Manell
Henkell Manall
Henkell Manning
Henkell Mannell
Henkell Mannall
Henkall Menking
Henkall Menkell
Henkall Menkall
Henkall Mening
Henkall Menell
Henkall Menall
Henkall Menning
Henkall Mennell
Henkall Mennall
Henkall Manking
Henkall Mankell
Henkall Mankall
Henkall Maning
Henkall Manell
Henkall Manall
Henkall Manning
Henkall Mannell
Henkall Mannall
Hening Menking
Hening Menkell
Hening Menkall
Hening Mening
Hening Menell
Hening Menall
Hening Menning
Hening Mennell
Hening Mennall
Hening Manking
Hening Mankell
Hening Mankall
Hening Maning
Hening Manell
Hening Manall
Hening Manning
Hening Mannell
Hening Mannall
Henell Menking
Henell Menkell
Henell Menkall
Henell Mening
Henell Menell
Henell Menall
Henell Menning
Henell Mennell
Henell Mennall
Henell Manking
Henell Mankell
Henell Mankall
Henell Maning
Henell Manell
Henell Manall
Henell Manning
Henell Mannell
Henell Mannall
Henall Menking
Henall Menkell
Henall Menkall
Henall Mening
Henall Menell
Henall Menall
Henall Menning
Henall Mennell
Henall Mennall
Henall Manking
Henall Mankell
Henall Mankall
Henall Maning
Henall Manell
Henall Manall
Henall Manning
Henall Mannell
Henall Mannall
Henning Menking
Henning Menkell
Henning Menkall
Henning Mening
Henning Menell
Henning Menall
Henning Menning
Henning Mennell
Henning Mennall
Henning Manking
Henning Mankell
Henning Mankall
Henning Maning
Henning Manell
Henning Manall
Henning Manning
Henning Mannell
Henning Mannall
Hennell Menking
Hennell Menkell
Hennell Menkall
Hennell Mening
Hennell Menell
Hennell Menall
Hennell Menning
Hennell Mennell
Hennell Mennall
Hennell Manking
Hennell Mankell
Hennell Mankall
Hennell Maning
Hennell Manell
Hennell Manall
Hennell Manning
Hennell Mannell
Hennell Mannall
Hennall Menking
Hennall Menkell
Hennall Menkall
Hennall Mening
Hennall Menell
Hennall Menall
Hennall Menning
Hennall Mennell
Hennall Mennall
Hennall Manking
Hennall Mankell
Hennall Mankall
Hennall Maning
Hennall Manell
Hennall Manall
Hennall Manning
Hennall Mannell
Hennall Mannall
Hanking Menking
Hanking Menkell
Hanking Menkall
Hanking Mening
