% DASL file http://lib.stat.cmu.edu/DASL/Datafiles/Crash.html
%    
% Crash Test Dummies
% 
% Reference:   National Transportation Safety Administration
% Authorization:   free use
% Description:   Data based on trials in which stock automobiles are crashed into a wall at 35MPH with dummies in the driver and front passenger seat.
% 
% 
% Number of cases:   352
% Variable Names:
% 
% make:   Car make
% Model:   Model of that car
% carID:   Usually the combination of make and model
% carID_&_Year:   Full ID of the car
% Head_IC:   Head injury criterion
% Chest_decel:   Chest deceleration
% L_Leg:   Left femur load
% R_Leg:   Right femur load
% D/P:   Whether the dummy is in the Driver or Passenger seat
% Protection:   Kind of protection (seat belt, air bag, etc.)
% Doors:   Number of doors on the car
% Year:   Year of the car
% Wt:   Weight in pounds
% Size:   A categorical variable to classify the cars to a type (light, minivan)
% 

@RELATION relation
@ATTRIBUTE 'make'  {"Acura","Audi","BMW","Buick","Cadillac","Chevrolet","Chrysler","Daihatsu","Dodge","Eagle","Ford","Geo","Honda","Hyundai","Infiniti","Isuzu","Jeep","Lexus","Lincoln","Mazda","Mercedes","Mercury","Mitsubishi","Nissan","Oldsmobile","Peugeot","Plymouth","Pontiac","Renault","Saab","Saturn","Subaru","Suzuki","Toyota","Volkswagen","Volvo","Yugo"}
@ATTRIBUTE 'Model' numeric
@ATTRIBUTE 'carID'  {"Acura_Integra","Acura_Integra_RS","Acura_Legend_LS","Audi_100","Audi_80","BMW_325i","Buick_Century","Buick_Elect._Park_Ave","Buick_Le_Sabre","Buick_Regal","Cadillac_De_Ville","Chevrolet_Astro","Chevrolet_Beretta","Chevrolet_Beretta_GT","Chevrolet_C-1500","Chevrolet_Camaro","Chevrolet_Caprice","Chevrolet_Cavalier","Chevrolet_Corsica","Chevrolet_G-20","Chevrolet_G-20_Beauville","Chevrolet_Lumina","Chevrolet_S-10_Blazer_4X4","Chevrolet_S-10_Pickup","Chevrolet_S-10_Pickup_4x4","Chevrolet_Suburban","Chrysler_Fifth_Ave","Chrysler_Imperial","Chrysler_Le_Baron","Chrysler_New_Yorker","Daihatsu_Charade","Dodge_D-150","Dodge_Dakota","Dodge_Dakota_4x4","Dodge_Daytona","Dodge_Shadow","Dodge_Spirit","Dodge_colt","Eagle_Medallion","Eagle_Premier","Ford_Aerostar","Ford_Bronco_II_4x4","Ford_Club_Wagon","Ford_Escort","Ford_Explorer_4x4","Ford_F-150","Ford_Festiva","Ford_Mustang","Ford_Mustang_LX","Ford_Probe","Ford_Ranger","Ford_Ranger_4x4","Ford_T-Bird","Ford_Taurus","Ford_Tempo","Geo_Metro","Geo_Prizm","Geo_Storm","Honda_Accord","Honda_Accord_Dx","Honda_Accord_Lx","Honda_Civic","Honda_Civic_Crx","Honda_Civic_Dx","Honda_Prelude","Hyundai_Excel","Hyundai_Scoupe","Hyundai_Sonata","Infiniti_M-30","Isuzu_Amigo","Isuzu_I-Mark","Isuzu_Rodeo","Isuzu_Spacecab","Isuzu_Stylus","Isuzu_Trooper_II_4x4","Jeep_Cherokee_4x4","Jeep_Comanche","Jeep_Wrangler_YJ_4x4","Lexus_ES250","Lincoln_Continental","Lincoln_Town_Car","Mazda_626","Mazda_929","Mazda_Miata","Mazda_Mpv","Mazda_Protege","Mazda_RX-7","Mercedes_190E","Mercury_Sable","Mercury_Topaz","Mercury_Tracer","Mitsubishi_Eclipse","Mitsubishi_Galant","Mitsubishi_Mirage","Mitsubishi_Montero_4x4","Mitsubishi_Starion","Mitsubishi_Wagon","Nissan_200sx","Nissan_240sx","Nissan_300zx","Nissan_Axxess","Nissan_Maxima","Nissan_Maxima_SE","Nissan_NL_Xev_Pickup","Nissan_Pickup","Nissan_Pulsar_Nx","Nissan_Sentra","Nissan_Stanza","Nissan_Van_Xe","Oldsmobile_Calais","Oldsmobile_Delta_88","Peugeot_505","Peugeot_505S","Peugeot_505_GLS","Plymouth_Acclaim","Plymouth_Sundance","Plymouth_Voyager","Pontiac_Grand_Am","Pontiac_Le_Mans","Pontiac_Sunbird","Pontiac_Trans_Sport","Renault_Medallion","Saab_9000","Saab_900S","Saturn_SL2","Subaru_GL","Subaru_Justy_DL","Subaru_Legacy","Suzuki_Sidekick_4x4","Toyota_4-Runner_4x4","Toyota_Camry","Toyota_Celica","Toyota_Corolla","Toyota_Corolla_Fx","Toyota_Cressida","Toyota_Pickup","Toyota_Pickup_4x4","Toyota_Previa","Toyota_Tercel","Toyota_Van","Volkswagen_Fox","Volkswagen_Passat","Volkswagen_Vanagon_GL","Volvo_740_GLE","Yugo_GV"}
@ATTRIBUTE 'carID_and_Year'  {"Acura_Integra_87","Acura_Integra_RS_90","Acura_Legend_LS_88","Audi_100_89","Audi_80_89","BMW_325i_90","Buick_Century_91","Buick_Elect._Park_Ave_88","Buick_Le_Sabre_90","Buick_Regal_88","Cadillac_De_Ville_90","Chevrolet_Astro_88","Chevrolet_Astro_89","Chevrolet_Beretta_91","Chevrolet_Beretta_GT_88","Chevrolet_C-1500_88","Chevrolet_Camaro_87","Chevrolet_Camaro_91","Chevrolet_Caprice_89","Chevrolet_Caprice_91","Chevrolet_Cavalier_90","Chevrolet_Corsica_88","Chevrolet_Corsica_91","Chevrolet_G-20_88","Chevrolet_G-20_Beauville_87","Chevrolet_Lumina_90","Chevrolet_S-10_Blazer_4X4_89","Chevrolet_S-10_Blazer_4X4_90","Chevrolet_S-10_Blazer_4X4_91","Chevrolet_S-10_Pickup_4x4_90","Chevrolet_S-10_Pickup_87","Chevrolet_Suburban_87","Chrysler_Fifth_Ave_89","Chrysler_Imperial_90","Chrysler_Le_Baron_87","Chrysler_Le_Baron_90","Chrysler_New_Yorker_88","Chrysler_New_Yorker_91","Daihatsu_Charade_88","Dodge_D-150_88","Dodge_Dakota_4x4_90","Dodge_Dakota_87","Dodge_Daytona_89","Dodge_Shadow_87","Dodge_Shadow_91","Dodge_Spirit_89","Dodge_colt_88","Eagle_Medallion_89","Eagle_Premier_89","Ford_Aerostar_87","Ford_Bronco_II_4x4_89","Ford_Club_Wagon_90","Ford_Escort_87","Ford_Escort_91","Ford_Explorer_4x4_91","Ford_F-150_88","Ford_Festiva_88","Ford_Mustang_90","Ford_Mustang_LX_87","Ford_Probe_89","Ford_Probe_91","Ford_Ranger_4x4_90","Ford_Ranger_87","Ford_T-Bird_89","Ford_Taurus_88","Ford_Taurus_90","Ford_Taurus_91","Ford_Tempo_88","Geo_Metro_89","Geo_Prizm_90","Geo_Storm_91","Honda_Accord_87","Honda_Accord_Dx_91","Honda_Accord_Lx_91","Honda_Civic_91","Honda_Civic_Crx_89","Honda_Civic_Dx_88","Honda_Prelude_90","Hyundai_Excel_87","Hyundai_Excel_90","Hyundai_Scoupe_91","Hyundai_Sonata_89","Infiniti_M-30_90","Isuzu_Amigo_90","Isuzu_I-Mark_87","Isuzu_Rodeo_91","Isuzu_Spacecab_87","Isuzu_Spacecab_88","Isuzu_Stylus_91","Isuzu_Trooper_II_4x4_89","Isuzu_Trooper_II_4x4_90","Jeep_Cherokee_4x4_89","Jeep_Cherokee_4x4_90","Jeep_Comanche_87","Jeep_Wrangler_YJ_4x4_87","Lexus_ES250_90","Lincoln_Continental_89","Lincoln_Town_Car_90","Mazda_626_87","Mazda_929_88","Mazda_Miata_90","Mazda_Mpv_91","Mazda_Protege_91","Mazda_RX-7_88","Mercedes_190E_90","Mercury_Sable_88","Mercury_Topaz_87","Mercury_Tracer_89","Mitsubishi_Eclipse_90","Mitsubishi_Galant_89","Mitsubishi_Galant_91","Mitsubishi_Mirage_89","Mitsubishi_Montero_4x4_88","Mitsubishi_Starion_87","Mitsubishi_Wagon_89","Nissan_200sx_87","Nissan_240sx_89","Nissan_300zx_91","Nissan_Axxess_90","Nissan_Maxima_89","Nissan_Maxima_SE_88","Nissan_NL_Xev_Pickup_88","Nissan_Pickup_87","Nissan_Pickup_89","Nissan_Pulsar_Nx_88","Nissan_Sentra_87","Nissan_Sentra_88","Nissan_Sentra_91","Nissan_Stanza_90","Nissan_Stanza_91","Nissan_Van_Xe_88","Oldsmobile_Calais_87","Oldsmobile_Delta_88_88","Peugeot_505S_89","Peugeot_505_87","Peugeot_505_GLS_88","Plymouth_Acclaim_89","Plymouth_Acclaim_91","Plymouth_Sundance_87","Plymouth_Voyager_87","Pontiac_Grand_Am_87","Pontiac_Le_Mans_88","Pontiac_Sunbird_87","Pontiac_Trans_Sport_90","Renault_Medallion_88","Saab_9000_87","Saab_900S_88","Saturn_SL2_91","Subaru_GL_87","Subaru_Justy_DL_87","Subaru_Legacy_90","Suzuki_Sidekick_4x4_89","Suzuki_Sidekick_4x4_91","Toyota_4-Runner_4x4_90","Toyota_Camry_87","Toyota_Celica_90","Toyota_Corolla_89","Toyota_Corolla_91","Toyota_Corolla_Fx_88","Toyota_Cressida_89","Toyota_Pickup_4x4_91","Toyota_Pickup_87","Toyota_Pickup_89","Toyota_Previa_91","Toyota_Tercel_88","Toyota_Tercel_91","Toyota_Van_89","Volkswagen_Fox_87","Volkswagen_Fox_88","Volkswagen_Fox_89","Volkswagen_Passat_90","Volkswagen_Vanagon_GL_88","Volvo_740_GLE_88","Yugo_GV_87"}
@ATTRIBUTE 'Head_IC' numeric
@ATTRIBUTE 'Chest_decel' numeric
@ATTRIBUTE 'L_Leg' numeric
@ATTRIBUTE 'R_Leg' numeric
@ATTRIBUTE 'D_P'  {"Driver","Passenger"}
@ATTRIBUTE 'Protection'  {"Motorized_belts","d&p_airbags","d_airbag","manual_belts","passive_belts"}
@ATTRIBUTE 'Doors' numeric
@ATTRIBUTE 'Year' numeric
@ATTRIBUTE 'Wt' numeric
@ATTRIBUTE 'Size'  {"comp","hev","lt","med","mini","mpv","pu","van"}
@DATA
'Acura','Integra','Acura_Integra','Acura_Integra_87',599,35,791,262,'Driver','manual_belts',2,87,2350,'lt'
'Acura','Integra_RS','Acura_Integra_RS','Acura_Integra_RS_90',585,'nd',1545,1301,'Driver','Motorized_belts',4,90,2490,'lt'
'Acura','Legend_LS','Acura_Legend_LS','Acura_Legend_LS_88',435,50,926,708,'Driver','d_airbag',4,88,3280,'med'
'Audi',80,'Audi_80','Audi_80_89',600,49,168,1871,'Driver','manual_belts',4,89,2790,'comp'
'Audi',100,'Audi_100','Audi_100_89',185,35,998,894,'Driver','d_airbag',4,89,3100,'med'
'BMW','325i','BMW_325i','BMW_325i_90',1036,56,865,'nd','Driver','d_airbag',2,90,2862,'comp'
'Buick','Century','Buick_Century','Buick_Century_91',815,47,1340,315,'Driver','passive_belts',4,91,2992,'comp'
'Buick','Elect._Park_Ave','Buick_Elect._Park_Ave','Buick_Elect._Park_Ave_88',1467,54,712,1366,'Driver','manual_belts',4,88,3360,'med'
'Buick','Le_Sabre','Buick_Le_Sabre','Buick_Le_Sabre_90','nd',35,1049,908,'Driver','passive_belts',2,90,3240,'med'
'Buick','Regal','Buick_Regal','Buick_Regal_88',880,50,996,642,'Driver','passive_belts',2,88,3210,'med'
'Cadillac','De_Ville','Cadillac_De_Ville','Cadillac_De_Ville_90',423,39,541,1629,'Driver','d_airbag',4,90,3500,'hev'
'Chevrolet','Astro','Chevrolet_Astro','Chevrolet_Astro_88',1603,72,1572,700,'Driver','manual_belts','-',88,3787,'van'
'Chevrolet','Astro','Chevrolet_Astro','Chevrolet_Astro_89',1849,64,2737,1043,'Driver','manual_belts','-',89,4002,'van'
'Chevrolet','Beretta','Chevrolet_Beretta','Chevrolet_Beretta_91',343,37,659,523,'Driver','d_airbag',2,91,2671,'comp'
'Chevrolet','Beretta_GT','Chevrolet_Beretta_GT','Chevrolet_Beretta_GT_88',864,50,1692,1052,'Driver','passive_belts',2,88,2890,'comp'
'Chevrolet','Camaro','Chevrolet_Camaro','Chevrolet_Camaro_87',733,39,736,353,'Driver','manual_belts',2,87,3070,'med'
'Chevrolet','Camaro','Chevrolet_Camaro','Chevrolet_Camaro_91',585,39,717,150,'Driver','d_airbag',2,91,3191,'med'
'Chevrolet','Caprice','Chevrolet_Caprice','Chevrolet_Caprice_89',1328,64,406,493,'Driver','manual_belts',4,89,3693,'hev'
'Chevrolet','Caprice','Chevrolet_Caprice','Chevrolet_Caprice_91',533,54,1529,613,'Driver','d_airbag',4,91,3990,'hev'
'Chevrolet','Cavalier','Chevrolet_Cavalier','Chevrolet_Cavalier_90',770,49,775,531,'Driver','passive_belts',4,90,2540,'comp'
'Chevrolet','Corsica','Chevrolet_Corsica','Chevrolet_Corsica_88',772,44,1293,737,'Driver','manual_belts',4,88,2750,'comp'
'Chevrolet','Corsica','Chevrolet_Corsica','Chevrolet_Corsica_91',493,41,1171,550,'Driver','d_airbag',4,91,2830,'comp'
'Chevrolet','C-1500','Chevrolet_C-1500','Chevrolet_C-1500_88',892,47,942,622,'Driver','manual_belts','-',88,3680,'pu'
'Chevrolet','G-20_Beauville','Chevrolet_G-20_Beauville','Chevrolet_G-20_Beauville_87',1387,67,1298,'nd','Driver','manual_belts','-',87,4887,'van'
'Chevrolet','G-20','Chevrolet_G-20','Chevrolet_G-20_88',3665,97,1330,963,'Driver','manual_belts','-',88,4244,'van'
'Chevrolet','Lumina','Chevrolet_Lumina','Chevrolet_Lumina_90',1200,58,782,'nd','Driver','passive_belts',4,90,3155,'med'
'Chevrolet','Suburban','Chevrolet_Suburban','Chevrolet_Suburban_87','*1477',50,1911,257,'Driver','manual_belts',4,87,5619,'mpv'
'Chevrolet','S-10_Blazer_4X4','Chevrolet_S-10_Blazer_4X4','Chevrolet_S-10_Blazer_4X4_89',834,62,'nd','nd','Driver','manual_belts',2,89,3518,'mpv'
'Chevrolet','S-10_Blazer_4X4','Chevrolet_S-10_Blazer_4X4','Chevrolet_S-10_Blazer_4X4_90',772,74,1539,985,'Driver','manual_belts',2,90,3720,'mpv'
'Chevrolet','S-10_Blazer_4X4','Chevrolet_S-10_Blazer_4X4','Chevrolet_S-10_Blazer_4X4_91',1026,71,2626,593,'Driver','manual_belts',4,91,3820,'mpv'
'Chevrolet','S-10_Pickup','Chevrolet_S-10_Pickup','Chevrolet_S-10_Pickup_87',985,58,1441,1108,'Driver','manual_belts','-',87,2592,'pu'
'Chevrolet','S-10_Pickup_4x4','Chevrolet_S-10_Pickup_4x4','Chevrolet_S-10_Pickup_4x4_90',1074,66,2234,643,'Driver','manual_belts','-',90,3360,'pu'
'Chrysler','Fifth_Ave','Chrysler_Fifth_Ave','Chrysler_Fifth_Ave_89',786,43,1132,667,'Driver','d_airbag',4,89,3820,'hev'
'Chrysler','Imperial','Chrysler_Imperial','Chrysler_Imperial_90',517,43,767,979,'Driver','d_airbag',4,90,3540,'hev'
'Chrysler','Le_Baron','Chrysler_Le_Baron','Chrysler_Le_Baron_87',791,62,1008,1776,'Driver','passive_belts',2,87,2870,'comp'
'Chrysler','Le_Baron','Chrysler_Le_Baron','Chrysler_Le_Baron_90',298,40,332,611,'Driver','d_airbag',2,90,3000,'med'
'Chrysler','New_Yorker','Chrysler_New_Yorker','Chrysler_New_Yorker_88',1362,55,730,1102,'Driver','manual_belts',4,88,3190,'med'
'Chrysler','New_Yorker','Chrysler_New_Yorker','Chrysler_New_Yorker_91',511,55,710,959,'Driver','d_airbag',4,91,3310,'med'
'Daihatsu','Charade','Daihatsu_Charade','Daihatsu_Charade_88',768,43,574,598,'Driver','manual_belts',2,88,1820,'mini'
'Dodge','colt','Dodge_colt','Dodge_colt_88',1354,53,844,461,'Driver','manual_belts',4,88,2348,'lt'
'Dodge','D-150','Dodge_D-150','Dodge_D-150_88',685,40,1481,361,'Driver','manual_belts','-',88,3550,'pu'
'Dodge','Dakota','Dodge_Dakota','Dodge_Dakota_87',985,44,324,442,'Driver','manual_belts','-',87,3010,'pu'
'Dodge','Dakota_4x4','Dodge_Dakota_4x4','Dodge_Dakota_4x4_90',1169,57,575,502,'Driver','manual_belts','-',90,3740,'pu'
'Dodge','Daytona','Dodge_Daytona','Dodge_Daytona_89',399,39,729,908,'Driver','d_airbag',2,89,2790,'comp'
'Dodge','Shadow','Dodge_Shadow','Dodge_Shadow_87',1488,49,1003,529,'Driver','manual_belts',2,87,2550,'comp'
'Dodge','Shadow','Dodge_Shadow','Dodge_Shadow_91',503,42,1234,647,'Driver','d_airbag',4,91,2730,'comp'
'Dodge','Spirit','Dodge_Spirit','Dodge_Spirit_89',1421,47,672,772,'Driver','manual_belts',4,89,2840,'comp'
'Eagle','Medallion','Eagle_Medallion','Eagle_Medallion_89',745,41,1721,1574,'Driver','Motorized_belts',4,89,2740,'comp'
'Eagle','Premier','Eagle_Premier','Eagle_Premier_89',877,46,742,765,'Driver','manual_belts',4,89,3060,'med'
'Ford','Aerostar','Ford_Aerostar','Ford_Aerostar_87',1568,49,286,590,'Driver','manual_belts','-',87,3013,'van'
'Ford','Bronco_II_4x4','Ford_Bronco_II_4x4','Ford_Bronco_II_4x4_89',994,58,267,428,'Driver','manual_belts',2,89,3485,'mpv'
'Ford','Club_Wagon','Ford_Club_Wagon','Ford_Club_Wagon_90',2613,59,1526,688,'Driver','manual_belts','-',90,5103,'van'
'Ford','Escort','Ford_Escort','Ford_Escort_87',551,42,1146,465,'Driver','passive_belts',2,87,2280,'lt'
'Ford','Escort','Ford_Escort','Ford_Escort_91',434,42,1403,2152,'Driver','Motorized_belts',2,91,2336,'lt'
'Ford','Explorer_4x4','Ford_Explorer_4x4','Ford_Explorer_4x4_91',903,52,486,617,'Driver','manual_belts',4,91,4212,'mpv'
'Ford','F-150','Ford_F-150','Ford_F-150_88',1074,56,1024,644,'Driver','manual_belts','-',88,3757,'pu'
'Ford','Festiva','Ford_Festiva','Ford_Festiva_88',1014,52,976,747,'Driver','manual_belts',2,88,1760,'mini'
'Ford','Mustang_LX','Ford_Mustang_LX','Ford_Mustang_LX_87',479,42,580,921,'Driver','manual_belts',2,87,2868,'comp'
'Ford','Mustang','Ford_Mustang','Ford_Mustang_90',651,42,1353,1063,'Driver','d_airbag',2,90,3445,'med'
'Ford','Probe','Ford_Probe','Ford_Probe_89',970,46,691,579,'Driver','manual_belts',2,89,2650,'comp'
'Ford','Probe','Ford_Probe','Ford_Probe_91',550,42,1051,1501,'Driver','Motorized_belts',2,91,2810,'comp'
'Ford','Ranger','Ford_Ranger','Ford_Ranger_87',977,52,739,344,'Driver','manual_belts','-',87,2668,'pu'
'Ford','Ranger_4x4','Ford_Ranger_4x4','Ford_Ranger_4x4_90',1270,61,572,392,'Driver','manual_belts','-',90,3533,'pu'
'Ford','Taurus','Ford_Taurus','Ford_Taurus_88',707,38,'nd',455,'Driver','manual_belts',4,88,3140,'med'
'Ford','Taurus','Ford_Taurus','Ford_Taurus_90',735,46,1219,581,'Driver','d_airbag',4,90,3080,'med'
'Ford','Taurus','Ford_Taurus','Ford_Taurus_91',480,44,1901,328,'Driver','d_airbag',4,91,3290,'med'
'Ford','Tempo','Ford_Tempo','Ford_Tempo_88',721,47,1113,1037,'Driver','passive_belts',4,88,2660,'comp'
'Ford','T-Bird','Ford_T-Bird','Ford_T-Bird_89',541,44,1224,1264,'Driver','Motorized_belts',2,89,3630,'hev'
'Geo','Metro','Geo_Metro','Geo_Metro_89',951,'nd',789,458,'Driver','manual_belts',2,89,1590,'mini'
'Geo','Metro','Geo_Metro','Geo_Metro_89',1075,56,805,465,'Driver','manual_belts',4,89,1650,'mini'
