% DASL file http://lib.stat.cmu.edu/DASL/Datafiles/DraftLottery.html
%    
% Draft Lottery 1970
% 
% Reference:   Moore, David S., and George P. McCabe (1989).  Introduction to the Practice of Statistics.  
% Authorization:   
% Description:   Data from the 1970 military draft lottery.  The lottery assigned numbers to potential draftees on the basis of birth date.  Variables are month, day of month, day of year, and draft number assigned to those born on that date.  Men with lower draft numbers were drafted first.
% 
% Number of cases:   366
% Variable Names:
% 
% Day:   Day of month (1-31)
% Month:   Month of year
% Mo.Number:   Month of year (1=January, 2=February, etc.)
% Day_of_Year:   Day of year (1-366)
% Draft_No.:   Draft number assigned to those born on this date
% 

@RELATION relation
@ATTRIBUTE 'Day' numeric
@ATTRIBUTE 'Month'  {"Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep"}
@ATTRIBUTE 'Mo.Number' numeric
@ATTRIBUTE 'Day_of_year' numeric
@ATTRIBUTE 'Draft_No.' numeric
@DATA
1,'Jan',1,1,305
2,'Jan',1,2,159
3,'Jan',1,3,251
4,'Jan',1,4,215
5,'Jan',1,5,101
6,'Jan',1,6,224
7,'Jan',1,7,306
8,'Jan',1,8,199
9,'Jan',1,9,194
10,'Jan',1,10,325
11,'Jan',1,11,329
12,'Jan',1,12,221
13,'Jan',1,13,318
14,'Jan',1,14,238
15,'Jan',1,15,17
16,'Jan',1,16,121
17,'Jan',1,17,235
18,'Jan',1,18,140
19,'Jan',1,19,58
20,'Jan',1,20,280
21,'Jan',1,21,186
22,'Jan',1,22,337
23,'Jan',1,23,118
24,'Jan',1,24,59
25,'Jan',1,25,52
26,'Jan',1,26,92
27,'Jan',1,27,355
28,'Jan',1,28,77
29,'Jan',1,29,349
30,'Jan',1,30,164
31,'Jan',1,31,221
1,'Feb',2,32,86
2,'Feb',2,33,144
3,'Feb',2,34,297
4,'Feb',2,35,210
5,'Feb',2,36,214
6,'Feb',2,37,347
7,'Feb',2,38,91
8,'Feb',2,39,181
9,'Feb',2,40,338
