% DASL file http://lib.stat.cmu.edu/DASL/Datafiles/MercuryinBass.html
%    
% Mercury Contamination in Bass
% 
% Reference:    Lange, Royals, & Connor. (1993). Transactions of the American Fisheries Society .
% Authorization:   contact authors
% Description:   Largemouth bass were studied in 53 different Florida lakes to examine the factors that influence the level of mercury contamination.  Water samples were collected from the surface of the middle of each lake in August 1990 and then again in March 1991. The pH level, the amount of chlorophyll, calcium, and alkalinity were measured in each sample. The average of the August and March values were used in the analysis. Next, a sample of fish was taken from each lake with sample sizes ranging from 4 to 44 fish. The age of each fish and mercury concentration in the muscle tissue was measured. (Note: Since fish absorb mercury over time, older fish will tend to have higher concentrations). Thus, to make a fair comparison of the fish in different lakes, the investigators used a regression estimate of the expected mercury concentration in a three year old fish as the standardized value for each lake. Finally, in 10 of the 53 lakes, the age of the individual fish could not be determined and the average mercury concentration ofthe sampled fish was used instead of the standardized value.
% Number of cases:   53
% Variable Names:
% 
% ID:   ID number
% Lake:   Name of the lake
% Alkalinity:   Alkalinity (mg/L as Calcium Carbonate)
% pH:   pH
% Calcium:   Calcium (mg/l)
% Chlorophyll:   Chlorophyll (mg/l)
% Avg_Mercury:   Average mercury concentration (parts per million) in the muscle tissue of the fish sampled from that lake
% No.samples:   How many fish were sampled from the lake
% min:   Minimum mercury concentration amongst the sampled fish
% max:   Maximum mercury concentration amongst the sampled fish
% 3_yr_Standard_mercury :   Regression estimate of the mercury concentration in a 3 year old fish from the lake (or = Avg Mercury when age data was not available)
% age_data:   Indicator of the availability of age data on fish sampled
% 

@RELATION relation
@ATTRIBUTE 'ID' numeric
@ATTRIBUTE 'Lake'  {"Alligator","Annie","Apopka","Blue Cypress","Brick","Bryant","Cherry","Crescent","Deer Point","Dias","Dorr","Down","East Tohopekaliga","Eaton","Farm-13","George","Griffin","Harney","Hart","Hatchineha","Iamonia","Istokpoga","Jackson","Josephine","Kingsley","Kissimmee","Lochloosa","Louisa","Miccasukee","Minneola","Monroe","Newmans","Ocean Pond","Ocheese Pond","Okeechobee","Orange","Panasoffkee","Parker","Placid","Puzzle","Rodman","Rousseau","Sampson","Shipp","Talquin","Tarpon","Tohopekaliga","Trafford","Trout","Tsala Apopka","Weir","Wildcat","Yale"}
@ATTRIBUTE 'Alkalinity' numeric
@ATTRIBUTE 'pH' numeric
@ATTRIBUTE 'Calcium' numeric
@ATTRIBUTE 'Chlorophyll' numeric
@ATTRIBUTE 'Avg_Mercury' numeric
@ATTRIBUTE 'No.samples' numeric
@ATTRIBUTE 'min' numeric
@ATTRIBUTE 'max' numeric
@ATTRIBUTE '3_yr_Standard_Mercury' numeric
@ATTRIBUTE 'age_data' numeric
@DATA
1,'Alligator',5.9,6.1,3.0,0.7,1.23,5,0.85,1.43,1.53,1
2,'Annie',3.5,5.1,1.9,3.2,1.33,7,0.92,1.90,1.33,0
3,'Apopka',116.0,9.1,44.1,128.3,0.04,6,0.04,0.06,0.04,0
4,'Blue Cypress',39.4,6.9,16.4,3.5,0.44,12,0.13,0.84,0.44,0
5,'Brick',2.5,4.6,2.9,1.8,1.20,12,0.69,1.50,1.33,1
6,'Bryant',19.6,7.3,4.5,44.1,0.27,14,0.04,0.48,0.25,1
7,'Cherry',5.2,5.4,2.8,3.4,0.48,10,0.30,0.72,0.45,1
8,'Crescent',71.4,8.1,55.2,33.7,0.19,12,0.08,0.38,0.16,1
9,'Deer Point',26.4,5.8,9.2,1.6,0.83,24,0.26,1.40,0.72,1
10,'Dias',4.8,6.4,4.6,22.5,0.81,12,0.41,1.47,0.81,1
11,'Dorr',6.6,5.4,2.7,14.9,0.71,12,0.52,0.86,0.71,1
12,'Down',16.5,7.2,13.8,4.0,0.50,12,0.10,0.73,0.51,1
13,'Eaton',25.4,7.2,25.2,11.6,0.49,7,0.26,1.01,0.54,1
14,'East Tohopekaliga',7.1,5.8,5.2,5.8,1.16,43,0.50,2.03,1.00,1
15,'Farm-13',128.0,7.6,86.5,71.1,0.05,11,0.04,0.11,0.05,0
16,'George',83.7,8.2,66.5,78.6,0.15,10,0.12,0.18,0.15,1
17,'Griffin',108.5,8.7,35.6,80.1,0.19,40,0.07,0.43,0.19,1
18,'Harney',61.3,7.8,57.4,13.9,0.77,6,0.32,1.50,0.49,1
19,'Hart',6.4,5.8,4.0,4.6,1.08,10,0.64,1.33,1.02,1
20,'Hatchineha',31.0,6.7,15.0,17.0,0.98,6,0.67,1.44,0.70,1
21,'Iamonia',7.5,4.4,2.0,9.6,0.63,12,0.33,0.93,0.45,1
22,'Istokpoga',17.3,6.7,10.7,9.5,0.56,12,0.37,0.94,0.59,1
23,'Jackson',12.6,6.1,3.7,21.0,0.41,12,0.25,0.61,0.41,0
24,'Josephine',7.0,6.9,6.3,32.1,0.73,12,0.33,2.04,0.81,1
25,'Kingsley',10.5,5.5,6.3,1.6,0.34,10,0.25,0.62,0.42,1
26,'Kissimmee',30.0,6.9,13.9,21.5,0.59,36,0.23,1.12,0.53,1
27,'Lochloosa',55.4,7.3,15.9,24.7,0.34,10,0.17,0.52,0.31,1
28,'Louisa',3.9,4.5,3.3,7.0,0.84,8,0.59,1.38,0.87,1
29,'Miccasukee',5.5,4.8,1.7,14.8,0.50,11,0.31,0.84,0.50,0
30,'Minneola',6.3,5.8,3.3,0.7,0.34,10,0.19,0.69,0.47,1
