% DASL file http://lib.stat.cmu.edu/DASL/Datafiles/SMSA.html
%    
% Air Pollution and Mortality
% 
% Reference:   U.S. Department of Labor Statistics
% Authorization:   free use
% Description:   Properties of 60 Standard Metropolitan Statistical Areas (a standard Census Bureau designation of the region around a city) in the United States, collected from a variety of sources.
%      The data include information on the social and economic conditions in these areas, on their climate, and some indices of air pollution potentials.
% Number of cases:   60
% Variable Names:
% 
% city:   City name
% JanTemp:   Mean January temperature (degrees Farenheit)
% JulyTemp:   Mean July temperature (degrees Farenheit)
% RelHum:   Relative Humidity
% Rain:   Annual rainfall (inches)
% Mortality:   Age adjusted mortality
% Education:   Median education
% PopDensity:   Population density
% %NonWhite:   Percentage of non whites
% %WC:   Percentage of white collar workers
% pop:   Population
% pop/house:   Population per household
% income:   Median income
% HCPot:   HC pollution potential
% NOxPot:   Nitrous Oxide pollution potential
% SO2Pot:   Sulfur Dioxide pollution potential
% NOx:   Nitrous Oxide
% 

@RELATION relation
@ATTRIBUTE 'city'  {"Akron_OH","Albany-Schenectady-Troy_NY","Allentown_BethlehemPA-NJ","Atlanta_GA","Baltimore_MD","Birmingham_AL","Boston_MA","Bridgeport-Milford_CT","Buffalo_NY","Canton_OH","Chattanooga_TN-GA","Chicago_IL","Cincinnati_OH-KY-IN","Cleveland_OH","Columbus_OH","Dallas_TX","Dayton-Springfield_OH","Denver_CO","Detroit_MI","Flint_MI","Fort,Worth_TX","Grand_Rapids_MI","Greensboro-Winston-Salem-High_Point_NC","Hartford_CT","Houston_TX","Indianapolis_IN","Kansas_City_MO","Lancaster_PA","Los_Angeles_Long_Beach_CA","Louisville_KY-IN","Memphis_TN-AR-MS","Miami-Hialeah_FL","Milwaukee_WI","Minneapolis-St._Paul_MN-WI","Nashville_TN","New_Haven-Meriden_CT","New_Orleans_LA","New_York_NY","Philadelphia_PA-NJ","Pittsburgh_PA","Portland_OR","Providence_RI","Reading_PA","Richmond-Petersburg_VA","Rochester_NY","San_Diego_CA","San_Francisco_CA","San_Jose_CA","Seattle_WA","Springfield_MA","St._Louis_MO-IL","Syracuse_NY","Toledo_OH","Utica-Rome_NY","Washington_DC-MD-VA","Wichita_KS","Wilmington_DE-NJ-MD","Worcester_MA","York_PA","Youngstown-Warren_OH"}
@ATTRIBUTE 'JanTemp' numeric
@ATTRIBUTE 'JulyTemp' numeric
@ATTRIBUTE 'RelHum' numeric
@ATTRIBUTE 'Rain' numeric
@ATTRIBUTE 'Mortality' numeric
@ATTRIBUTE 'Education' numeric
@ATTRIBUTE 'PopDensity' numeric
@ATTRIBUTE '%NonWhite' numeric
@ATTRIBUTE '%WC' numeric
@ATTRIBUTE 'pop' numeric
@ATTRIBUTE 'pop/house' numeric
@ATTRIBUTE 'income' numeric
@ATTRIBUTE 'HCPot' numeric
@ATTRIBUTE 'NOxPot' numeric
@ATTRIBUTE 'S02Pot' numeric
@ATTRIBUTE 'NOx' numeric
@DATA
'Akron_OH',27,71,59,36,921.87,11.4,3243,8.8,42.6,660328,3.34,29560,21,15,59,15
'Albany-Schenectady-Troy_NY',23,72,57,35,997.87,11.0,4281,3.5,50.7,835880,3.14,31458,8,10,39,10
'Allentown_BethlehemPA-NJ',29,74,54,44,962.35,9.8,4260,0.8,39.4,635481,3.21,31856,6,6,33,6
'Atlanta_GA',45,79,56,47,982.29,11.1,3125,27.1,50.2,2138231,3.41,32452,18,8,24,8
'Baltimore_MD',35,77,55,43,1071.29,9.6,6441,24.4,43.7,2199531,3.44,32368,43,38,206,38
'Birmingham_AL',45,80,54,53,1030.38,10.2,3325,38.5,43.1,883946,3.45,27835,30,32,72,32
'Boston_MA',30,74,56,43,934.70,12.1,4679,3.5,49.2,2805911,3.23,36644,21,32,62,32
'Bridgeport-Milford_CT',30,73,56,45,899.53,10.6,2140,5.3,40.4,438557,3.29,47258,6,4,4,4
'Buffalo_NY',24,70,61,36,1001.90,10.5,6582,8.1,42.5,1015472,3.31,31248,18,12,37,12
'Canton_OH',27,72,59,36,912.35,10.7,4213,6.7,41.0,404421,3.36,29089,12,7,20,7
'Chattanooga_TN-GA',42,79,56,52,1017.61,9.6,2302,22.2,41.3,426540,3.39,25782,18,8,27,8
'Chicago_IL',26,76,58,33,1024.89,10.9,6122,16.3,44.9,606387,3.20,36593,88,63,278,63
'Cincinnati_OH-KY-IN',34,77,57,40,970.47,10.2,4101,13.0,45.7,1401491,3.21,31427,26,26,146,26
'Cleveland_OH',28,71,60,35,985.95,11.1,3042,14.7,44.6,1898825,3.29,35720,31,21,64,21
'Columbus_OH',31,75,58,37,958.84,11.9,4259,13.1,49.6,124833,3.26,29761,23,9,15,9
'Dallas_TX',46,85,54,35,860.10,11.8,1441,14.8,51.2,1957378,3.22,38769,1,1,1,1
'Dayton-Springfield_OH',30,75,58,36,936.23,11.4,4029,12.4,44.0,942083,3.35,30232,6,4,16,4
'Denver_CO',30,73,38,15,871.77,12.2,4824,4.7,53.1,1428836,3.15,39099,17,8,28,8
'Detroit_MI',27,74,59,31,959.22,10.8,4834,15.8,43.5,4488072,3.44,33858,52,35,124,35
'Flint_MI',24,72,61,30,941.18,10.8,3694,13.1,33.8,450449,3.53,32000,11,4,11,4
'Fort,Worth_TX',45,85,53,31,891.71,11.4,1844,11.5,48.1,3.22,1,1,1,1
'Grand_Rapids_MI',24,72,61,31,871.34,10.9,3226,5.1,45.2,601680,3.37,29915,5,3,10,3
'Greensboro-Winston-Salem-High_Point_NC',40,77,53,42,971.12,10.4,2269,22.7,41.4,851851,3.45,29450,8,3,5,3
'Hartford_CT',27,72,56,43,887.47,11.5,2909,7.2,51.6,715923,3.25,37565,7,3,10,3
'Houston_TX',55,84,59,46,952.53,11.4,2647,21.0,46.9,2735766,3.35,39558,6,5,1,5
'Indianapolis_IN',29,75,60,39,968.67,11.4,4412,15.6,46.6,1166575,3.23,31461,13,7,33,7
