% DASL file http://lib.stat.cmu.edu/DASL/Datafiles/Strollers.html
%    
% Reference:   Burns, A., Mitchell, G., and Obradovich, S. (1989), "Of Sex Roles and Strollers:  Female and Male Attention to Toddlers at the Zoo," Sex Roles , 20, 309-315.
% Authorization:   Contact authors
% Description:   Burns, Mitchell, and Obradovich (1989) conducted an observational study of visitors to the Sacramento Zoo in Sacramento, California to see how males and females with young children acted toward the children in public.  This observational study was conducted near the primate exhibit at the Sacramento Zoo on weekends between January 30 and April 10, 1988.  Characteristics of all groups of visitors to the exhibit were recorded on data pages by one of five observers/coders.  The following information was recorded for each party: number of strollers (to represent the presence of a toddler), who was pushing the stroller, the number of young adult females, the number of young adult males, the number of senior females, the number of senior males, the number of toddlers per stroller and the sex of the toddlers, the number of boys, the number of girls, and the total number in the party.  The data page included a section for comments about each group. 
% Number of cases:   76
% Variable Names:
% 
% Strollers:   total number of strollers
% Push male:   number of males pushing strollers
% Push female:   number of females pushing strollers
% Adfemale:   total number of adult females 
% Admale:   total number of adult males 
% Sr.female:   total number of senior females 
% Sr.males:   total number of senior males 
% Boys:   total number of boys 
% Girls:   total number of girls
% Strollmale:   total number of males in strollers 
% Strollfemale:   total number of females in strollers 
% Total:   total number of people counted 
% Day:   day of week
% Time:   length of time it took to fill the data page
% Observer:   code number of person who made the observations
% Weather:   weather conditions recorded by observer
% Cage:   location code number (1,2,3)
% Comments:   number of comments by observer
% 

@RELATION relation
@ATTRIBUTE 'Strollers' numeric
@ATTRIBUTE 'Pushmale' numeric
@ATTRIBUTE 'Pushfemale' numeric
@ATTRIBUTE 'Adfemale' numeric
@ATTRIBUTE 'Admale' numeric
@ATTRIBUTE 'Sr.female' numeric
@ATTRIBUTE 'Sr.male' numeric
@ATTRIBUTE 'Boys' numeric
@ATTRIBUTE 'Girls' numeric
@ATTRIBUTE 'Strollmale' numeric
@ATTRIBUTE 'Strollfemale' numeric
@ATTRIBUTE 'Total' numeric
@ATTRIBUTE 'Day'  {"Sat.","Sun."}
@ATTRIBUTE 'Time' numeric
@ATTRIBUTE 'Observer' numeric
@ATTRIBUTE 'Weather'  {"?","clear","clear/breezy","clear/sunny","overcast","sunny","sunny warm","warm sunnu"}
@ATTRIBUTE 'Cage' numeric
@ATTRIBUTE 'Comments' numeric
@DATA
8,3,5,26,18,2,2,17,15,5,3,84,'Sat.',21,4,'clear/sunny',1,6
10,2,8,24,14,3,1,17,9,7,3,76,'Sat.',12,1,'overcast',1,2
12,6,4,29,24,0,0,16,11,7,5,92,'Sat.',12,1,'clear/sunny',1,1
1,0,1,28,16,2,1,11,17,0,1,76,'Sat.',9,1,'clear/sunny',1,0
9,4,5,25,17,0,0,15,16,2,7,82,'Sat.',16,4,'clear/sunny',1,4
12,1,11,32,16,2,2,14,9,3,9,86,'Sat.',14,3,'sunny',1,3
5,3,2,24,18,4,3,14,14,3,2,88,'Sat.',19,1,'clear/sunny',1,0
9,4,5,21,24,1,3,20,15,5,4,93,'Sat.',15,1,'clear/sunny',1,1
11,3,8,22,18,3,3,9,16,4,7,84,'Sat.',10,3,'sunny',1,0
8,2,6,31,20,4,4,21,21,2,6,108,'Sat.',37,4,'sunny',1,0
3,1,2,27,13,3,4,5,7,2,1,62,'Sat.',24,2,'sunny',1,1
17,2,5,25,21,4,0,13,16,4,3,80,'Sat.',18,4,'sunny',1,4
8,3,5,28,21,4,3,19,9,4,4,86,'Sat.',14,4,'sunny',1,2
7,4,3,25,19,3,1,15,15,3,4,86,'Sat.',18,2,'sunny',1,2
9,2,7,27,16,1,1,14,21,5,4,88,'Sun.',17,3,'clear',1,4
10,3,7,25,20,2,1,15,9,4,6,82,'Sun.',28,1,'clear/breezy',1,1
7,3,4,17,20,1,3,11,13,3,4,72,'Sun.',17,3,'sunny',1,2
9,6,3,22,16,3,3,7,13,4,5,71,'Sun.',24,1,'clear/sunny',1,0
5,3,2,26,21,1,1,7,15,2,3,76,'Sun.',13,3,'sunny',1,2
8,3,5,25,15,2,3,18,18,4,4,89,'Sun.',13,1,'sunny',1,0
9,4,5,26,16,0,1,11,16,6,4,80,'Sun.',9,4,'clear/sunny',1,0
10,4,3,31,17,2,1,22,14,6,4,96,'Sun.',20,1,'sunny',1,1
7,2,5,27,17,1,0,9,17,5,3,80,'Sun.',16,1,'sunny',1,4
7,2,5,29,13,5,3,9,13,3,11,79,'Sun.',17,5,'sunny',1,0
6,2,4,20,17,4,3,12,11,2,4,73,'Sun.',16,5,'sunny',1,0
11,6,5,21,25,3,2,9,10,4,7,77,'Sun.',17,1,'sunny',1,0
