'date','IC','price','income','temp','Lag-temp','Year'
1,.386,.270,78,41,56,0
2,.374,.282,79,56,63,0
3,.393,.277,81,63,68,0
4,.425,.280,80,68,69,0
5,.406,.272,76,69,65,0
6,.344,.262,78,65,61,0
7,.327,.275,82,61,47,0
8,.288,.267,79,47,32,0
9,.269,.265,76,32,24,0
10,.256,.277,79,24,28,0
11,.286,.282,82,28,26,1
12,.298,.270,85,26,32,1
13,.329,.272,86,32,40,1
14,.318,.287,83,40,55,1
15,.381,.277,84,55,63,1
16,.381,.287,82,63,72,1
17,.470,.280,80,72,72,1
18,.443,.277,78,72,67,1
19,.386,.277,84,67,60,1
20,.342,.277,86,60,44,1
21,.319,.292,85,44,40,1
22,.307,.287,87,40,32,1
23,.284,.277,94,32,27,1
24,.326,.285,92,27,28,2
25,.309,.282,95,28,33,2
26,.359,.265,96,33,41,2
27,.376,.265,94,41,52,2
28,.416,.265,96,52,64,2
29,.437,.268,91,64,71,2
30,.548,.260,90,71,?,2
