'Velocity','Trial#'
850,'first'
740,'first'
900,'first'
1070,'first'
930,'first'
850,'first'
950,'first'
980,'first'
980,'first'
880,'first'
1000,'first'
980,'first'
930,'first'
650,'first'
760,'first'
810,'first'
1000,'first'
1000,'first'
960,'first'
960,'first'
960,'second'
940,'second'
960,'second'
940,'second'
880,'second'
800,'second'
850,'second'
880,'second'
900,'second'
840,'second'
830,'second'
790,'second'
810,'second'
880,'second'
880,'second'
830,'second'
800,'second'
790,'second'
760,'second'
800,'second'
880,'third'
880,'third'
880,'third'
860,'third'
720,'third'
720,'third'
620,'third'
860,'third'
970,'third'
950,'third'
880,'third'
910,'third'
850,'third'
870,'third'
840,'third'
840,'third'
850,'third'
840,'third'
840,'third'
840,'third'
890,'fourth'
810,'fourth'
810,'fourth'
820,'fourth'
800,'fourth'
770,'fourth'
760,'fourth'
740,'fourth'
750,'fourth'
760,'fourth'
910,'fourth'
920,'fourth'
890,'fourth'
860,'fourth'
880,'fourth'
720,'fourth'
840,'fourth'
850,'fourth'
850,'fourth'
780,'fourth'
890,'fifth'
840,'fifth'
780,'fifth'
810,'fifth'
760,'fifth'
810,'fifth'
790,'fifth'
810,'fifth'
820,'fifth'
850,'fifth'
870,'fifth'
870,'fifth'
810,'fifth'
740,'fifth'
810,'fifth'
940,'fifth'
950,'fifth'
800,'fifth'
810,'fifth'
870,'fifth'
