'Order','Block','Height','Frequency','RestHR','HR'
16,2,0,0,60,75
18,2,0,1,63,84
19,2,1,2,69,135
21,2,1,0,69,108
25,2,0,2,69,93
17,4,1,1,96,141
20,4,1,0,87,120
22,4,0,0,90,99
23,4,1,2,93,153
27,4,0,2,87,129
24,3,1,1,72,99
26,3,0,1,69,93
28,3,1,0,78,93
29,3,0,2,72,99
30,3,1,2,78,129
1,5,0,0,87,93
2,1,1,1,87,111
3,6,1,2,81,120
4,5,0,2,75,123
5,1,0,1,81,96
6,6,1,0,84,99
7,1,1,0,84,99
8,5,1,1,90,129
9,6,0,1,75,90
10,1,0,0,78,87
11,6,0,0,84,84
12,5,0,1,90,108
13,1,0,2,78,96
14,6,1,1,84,90
15,5,1,2,90,147
