'MDW_PIPIT','TREE_PIPIT','HDGE_SPRW','ROBIN','PIED_WTAIL','WREN'
19.65,21.05,20.85,21.05,21.05,19.85
20.05,21.85,21.65,21.85,21.85,20.05
20.65,22.05,22.05,22.05,21.85,20.25
20.85,22.45,22.85,22.05,21.85,20.85
21.65,22.65,23.05,22.05,22.05,20.85
21.65,23.25,23.05,22.25,22.45,20.85
21.65,23.25,23.05,22.45,22.65,21.05
21.85,23.25,23.05,22.45,23.05,21.05
21.85,23.45,23.45,22.65,23.05,21.05
21.85,23.45,23.85,23.05,23.25,21.25
22.05,23.65,23.85,23.05,23.45,21.45
22.05,23.85,23.85,23.05,24.05,22.05
22.05,24.05,24.05,23.05,24.05,22.05
22.05,24.05,25.05,23.05,24.05,22.05
22.05,24.05,?,23.25,24.85,22.25
22.05,?,?,23.85,?,?
22.05,?,?,?,?,?
22.05,?,?,?,?,?
22.05,?,?,?,?,?
22.05,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.25,?,?,?,?,?
22.45,?,?,?,?,?
22.45,?,?,?,?,?
22.45,?,?,?,?,?
22.65,?,?,?,?,?
22.65,?,?,?,?,?
22.85,?,?,?,?,?
22.85,?,?,?,?,?
22.85,?,?,?,?,?
22.85,?,?,?,?,?
23.05,?,?,?,?,?
23.25,?,?,?,?,?
23.25,?,?,?,?,?
23.45,?,?,?,?,?
23.65,?,?,?,?,?
23.85,?,?,?,?,?
24.25,?,?,?,?,?
24.45,?,?,?,?,?
