'WDS','SEN','3SYL','MAG','GROUP'
205,9,34,1,1
203,20,21,1,1
229,18,37,1,1
208,16,31,1,1
146,9,10,1,1
230,16,24,1,1
215,16,39,2,1
153,9,10,2,1
205,11,17,2,1
80,13,18,2,1
208,22,32,2,1
89,16,17,2,1
49,5,3,3,1
93,18,10,3,1
46,6,6,3,1
34,6,5,3,1
39,5,6,3,1
88,12,6,3,1
191,25,13,4,2
219,17,22,4,2
205,23,25,4,2
57,7,3,4,2
105,10,5,4,2
109,9,2,4,2
82,10,9,5,2
88,10,3,5,2
39,5,0,5,2
94,11,4,5,2
206,18,29,5,2
197,18,26,5,2
68,9,5,6,2
44,9,5,6,2
203,17,24,6,2
139,13,15,6,2
72,11,3,6,2
67,7,8,6,2
162,14,16,7,3
31,6,9,7,3
85,11,10,7,3
111,12,3,7,3
88,11,12,7,3
60,15,10,7,3
97,6,10,8,3
169,12,11,8,3
78,14,12,8,3
68,11,13,8,3
32,4,1,8,3
50,9,9,8,3
208,18,43,9,3
81,12,13,9,3
83,12,14,9,3
195,17,32,9,3
111,11,24,9,3
208,20,15,9,3
