'PT1','PT2','PT3','PT4','PT5'
1.2,16.4,12.1,11.5,24.0
10.1,'-6.0',9.7,10.2,'-3.7'
'-2.0','-11.6',7.4,3.8,8.2
1.5,'-1.3','-2.1',8.3,9.2
'-3.0',4.0,10.1,6.6,'-9.3'
'-0.7',17.0,4.7,10.2,8.0
3.2,3.8,4.6,8.8,15.8
2.7,4.3,3.9,2.7,22.3
'-3.2',10.4,3.6,5.1,3.1
'-1.7',4.2,9.6,11.2,16.8
2.4,8.5,9.8,5.9,11.3
0.3,6.3,6.5,13.0,12.3
3.5,9.0,5.7,6.8,16.9
'-0.8',7.1,5.1,14.5,?
19.4,4.3,3.4,5.2,?
2.8,19.7,'-0.8',7.3,?
13.0,3.0,'-3.9',7.1,?
42.7,7.6,0.9,3.4,?
1.4,70.2,1.5,0.7,?
3.0,8.5,?,?,?
2.4,6.0,?,?,?
1.3,2.9,?,?,?
